phenotype	description	risk_category	your_risk	gene_tested	priority	type	category	sub_pri	intrinsic_factors	sign_and_symptoms	recomm_test	possible_outcome	do_action	do_not_action
Ankylosing Spondylitis	"Ankylosing spondylitis (AS) adalah radang kronis persedian tulang punggung yang menyebabkan kaku, nyeri dan juga dapat menyebabkan perubahan postur menjadi bungkuk. Jika peradangan terjadi pada tulang rusuk, pernapasan sangat mungkin terganggu. Selain tulang punggung, AS dapat menyerang organ lain seperti mata, jantung, paru-paru dan ginjal.
AS bisa menyerang semua kelompok usia. 
"	Typical		"ERAP1; CAST; IL23R; ERAP1, LOC102724748"	1	Health	Bone and Joint Disorders		"Faktor intrinsik 

1.	Usia: lebih sering terjadi pada usia 20-30 tahun
2.	Gender: lebih sering terjadi pada laki-laki
3.	Riwayat keluarga

Faktor Gaya Hidup 
Tidak Ada 

Kondisi medis terkait
1.	Penyakit radang usus
2.	Psoriasis**
3.	Penyakit paru restriktif	


"	"1) Nyeri sendi yang tiba-tiba dan intens
2) Efusi sendi
3) Peradangan yang berlebihan pada persendian
4) Kemerahan dan nyeri pada persendian
5) Tophi (nodul di bawah kulit) menunjukkan
Hiperurisemia yang berlangsung lama
6) Penglihatan kabur"	"1) Kadar asam urat dan kreatinin serum
2) Uji Cairan Sendi
3) USG Muskuloskeletal mendeteksi kristal urat di sendi
4) Konsultasi Dokter/Dokter Ortopedi direkomendasikan"	TBA	TBA	NA
Ankylosing Spondylitis	"Ankylosing spondylitis (AS) adalah radang kronis persedian tulang punggung yang menyebabkan kaku, nyeri dan juga dapat menyebabkan perubahan postur menjadi bungkuk. Jika peradangan terjadi pada tulang rusuk, pernapasan sangat mungkin terganggu. Selain tulang punggung, AS dapat menyerang organ lain seperti mata, jantung, paru-paru dan ginjal.
AS bisa menyerang semua kelompok usia. 
"	Low		"ERAP1; CAST; IL23R; ERAP1, LOC102724748"	1	Health	Bone and Joint Disorders		"Faktor intrinsik 

1.	Usia: lebih sering terjadi pada usia 20-30 tahun
2.	Gender: lebih sering terjadi pada laki-laki
3.	Riwayat keluarga

Faktor Gaya Hidup 
Tidak Ada 

Kondisi medis terkait
1.	Penyakit radang usus
2.	Psoriasis**
3.	Penyakit paru restriktif	


"	"1) Nyeri sendi yang tiba-tiba dan intens
2) Efusi sendi
3) Peradangan yang berlebihan pada persendian
4) Kemerahan dan nyeri pada persendian
5) Tophi (nodul di bawah kulit) menunjukkan
Hiperurisemia yang berlangsung lama
6) Penglihatan kabur"	"1) Kadar asam urat dan kreatinin serum
2) Uji Cairan Sendi
3) USG Muskuloskeletal mendeteksi kristal urat di sendi
4) Konsultasi Dokter/Dokter Ortopedi direkomendasikan"	TBA	TBA	NA
Ankylosing Spondylitis	"Ankylosing spondylitis (AS) adalah radang kronis persedian tulang punggung yang menyebabkan kaku, nyeri dan juga dapat menyebabkan perubahan postur menjadi bungkuk. Jika peradangan terjadi pada tulang rusuk, pernapasan sangat mungkin terganggu. Selain tulang punggung, AS dapat menyerang organ lain seperti mata, jantung, paru-paru dan ginjal.
AS bisa menyerang semua kelompok usia. 
"	High		"ERAP1; CAST; IL23R; ERAP1, LOC102724748"	1	Health	Bone and Joint Disorders		"Faktor intrinsik 

1.	Usia: lebih sering terjadi pada usia 20-30 tahun
2.	Gender: lebih sering terjadi pada laki-laki
3.	Riwayat keluarga

Faktor Gaya Hidup 
Tidak Ada 

Kondisi medis terkait
1.	Penyakit radang usus
2.	Psoriasis**
3.	Penyakit paru restriktif	


"	"1) Nyeri sendi yang tiba-tiba dan intens
2) Efusi sendi
3) Peradangan yang berlebihan pada persendian
4) Kemerahan dan nyeri pada persendian
5) Tophi (nodul di bawah kulit) menunjukkan
Hiperurisemia yang berlangsung lama
6) Penglihatan kabur"	"1) Kadar asam urat dan kreatinin serum
2) Uji Cairan Sendi
3) USG Muskuloskeletal mendeteksi kristal urat di sendi
4) Konsultasi Dokter/Dokter Ortopedi direkomendasikan"	Secara genetik, kamu memiliki risiko tinggi untuk mengidap Ankylosing Spondylitis	"Perkaya asupan vitamin D dan Kalsium untuk meningkatkan kesehatan tulang dan mencegah perkembangan AS

Bergerak aktif dan berolahraga teratur seperti tai chi, yoga, terapi air, pilates dan berenang untuk mencegah kekakuan dan nyeri.

Jaga postur tubuh dengan berdiri dan duduk yang tegak untuk mencegah masalah pembungkukan pada AS

Terapi panas seperti kompres panas, mandi air panas, dan terapi dingin dengan kompres dan pijat es pada sendi yang kaku dan otot yang tegang untuk meredakan bila ada pembengkakan.

Makan makanan kaya antioksidan (sebagian besar buah dan sayuran, kacang-kacangan dan biji-bijian, rempah-rempah)

Konsultasikan kepada fisioterapis jika terdapat gejala AS"	"Makanan tinggi garam

Merokok

Beban berat yang membebani punggung dan persendian

Mengubah postur tubuh dan istirahat secara berkala saat duduk atau berdiri dalam waktu yang sangat lama"
Gout	"Asam urat adalah bentuk radang sendi yang diakibatkan peningkatan konsentrasi asam urat dalam darah (hiperurisemia). 
Asam urat mempengaruhi sendi perifer, paling sering jempol kaki. Namun, sendi pergelangan kaki, lutut, jari, pergelangan tangan, dan siku juga dapat terpengaruh. Hiperurisemia berpotensi menyebabkan gangguan lain seperti batu ginjal, gagal ginjal, dan penyakit kardiovaskular.
"	Typical		"ABCG2; SLC2A9; GCKR"	2	Health	Bone and Joint Disorders		"Faktor intrinsik
1) Usia: onset antara
usia 30-60 tahun pada pria;
setelah menopause di
wanita
2) Jenis Kelamin: lebih
umum pada pria
3) Riwayat keluarga

Faktor gaya hidup
1) Kelebihan berat badan
2) Diet kaya purin dan diet tinggi daging merah
3) Makanan dan minuman dengan kadar fruktosa tinggi
4)Alkohol berlebihan

Kondisi medis terkait
1) Hiperurisemia
2) Hipertensi
3) Diabetes
4) Penyakit ginjal
5) Penyakit jantung
6) Obat-obatan tertentu seperti
diuretik, siklosporin dan
aspirin dosis rendah
7) Operasi baru-baru ini atau trauma



"	"1) Nyeri sendi yang tiba-tiba dan intens
2) Efusi sendi
3) Peradangan yang berlebihan pada persendian
4) Kemerahan dan nyeri pada persendian
5) Tophi (nodul di bawah kulit) menunjukkan
Hiperurisemia yang berlangsung lama
6) Penglihatan kabur"	"1) Kadar asam urat dan kreatinin serum
2) Uji Cairan Sendi
3) USG Muskuloskeletal mendeteksi kristal urat di sendi
4) Konsultasi Dokter/Dokter Ortopedi direkomendasikan"	Secara genetik, kamu memiliki risiko umum untuk mengidap Gout	"
1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala asam urat dan segera konsultasikan ke dokter jika Anda mengalami salah satu dari gejala."	NA
Gout	"Asam urat adalah bentuk radang sendi yang diakibatkan peningkatan konsentrasi asam urat dalam darah (hiperurisemia). 
Asam urat mempengaruhi sendi perifer, paling sering jempol kaki. Namun, sendi pergelangan kaki, lutut, jari, pergelangan tangan, dan siku juga dapat terpengaruh. Hiperurisemia berpotensi menyebabkan gangguan lain seperti batu ginjal, gagal ginjal, dan penyakit kardiovaskular.
"	Low		"ABCG2; SLC2A9; GCKR"	2	Health	Bone and Joint Disorders		"Faktor intrinsik
1) Usia: onset antara
usia 30-60 tahun pada pria;
setelah menopause di
wanita
2) Jenis Kelamin: lebih
umum pada pria
3) Riwayat keluarga

Faktor gaya hidup
1) Kelebihan berat badan
2) Diet kaya purin dan diet tinggi daging merah
3) Makanan dan minuman dengan kadar fruktosa tinggi
4)Alkohol berlebihan

Kondisi medis terkait
1) Hiperurisemia
2) Hipertensi
3) Diabetes
4) Penyakit ginjal
5) Penyakit jantung
6) Obat-obatan tertentu seperti
diuretik, siklosporin dan
aspirin dosis rendah
7) Operasi baru-baru ini atau trauma



"	"1) Nyeri sendi yang tiba-tiba dan intens
2) Efusi sendi
3) Peradangan yang berlebihan pada persendian
4) Kemerahan dan nyeri pada persendian
5) Tophi (nodul di bawah kulit) menunjukkan
Hiperurisemia yang berlangsung lama
6) Penglihatan kabur"	"1) Kadar asam urat dan kreatinin serum
2) Uji Cairan Sendi
3) USG Muskuloskeletal mendeteksi kristal urat di sendi
4) Konsultasi Dokter/Dokter Ortopedi direkomendasikan"	Secara genetik, kamu memiliki risiko rendah untuk mengidap Gout	"
1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala asam urat dan segera konsultasikan ke dokter jika Anda mengalami salah satu dari gejala."	NA
Gout	"Asam urat adalah bentuk radang sendi yang diakibatkan peningkatan konsentrasi asam urat dalam darah (hiperurisemia). 
Asam urat mempengaruhi sendi perifer, paling sering jempol kaki. Namun, sendi pergelangan kaki, lutut, jari, pergelangan tangan, dan siku juga dapat terpengaruh. Hiperurisemia berpotensi menyebabkan gangguan lain seperti batu ginjal, gagal ginjal, dan penyakit kardiovaskular.
"	High		"ABCG2; SLC2A9; GCKR"	2	Health	Bone and Joint Disorders		"Faktor intrinsik
1) Usia: onset antara
usia 30-60 tahun pada pria;
setelah menopause di
wanita
2) Jenis Kelamin: lebih
umum pada pria
3) Riwayat keluarga

Faktor gaya hidup
1) Kelebihan berat badan
2) Diet kaya purin dan diet tinggi daging merah
3) Makanan dan minuman dengan kadar fruktosa tinggi
4)Alkohol berlebihan

Kondisi medis terkait
1) Hiperurisemia
2) Hipertensi
3) Diabetes
4) Penyakit ginjal
5) Penyakit jantung
6) Obat-obatan tertentu seperti
diuretik, siklosporin dan
aspirin dosis rendah
7) Operasi baru-baru ini atau trauma



"	"1) Nyeri sendi yang tiba-tiba dan intens
2) Efusi sendi
3) Peradangan yang berlebihan pada persendian
4) Kemerahan dan nyeri pada persendian
5) Tophi (nodul di bawah kulit) menunjukkan
Hiperurisemia yang berlangsung lama
6) Penglihatan kabur"	"1) Kadar asam urat dan kreatinin serum
2) Uji Cairan Sendi
3) USG Muskuloskeletal mendeteksi kristal urat di sendi
4) Konsultasi Dokter/Dokter Ortopedi direkomendasikan"	TBA	TBA	TBA
Osteoarthritis	"Osteoarthritis (OA) adalah penyakit sistem muskuloskeletal yang mempengaruhi sendi lutut, pinggul dan tulang belakang, dan sendi lain yang ditandai dengan rusaknya tulang rawan/kartilago, jaringan keras namun fleksibel yang menutupi ujung tulang pada sendi.
OA adalah penyakit degeneratif yang memburuk dari waktu ke waktu, yang sering mengakibatkan nyeri kronis.
"	Typical		"IL11; FILIP1, LOC101928540; GDF5; ADAM12"	3	Health	Bone and Joint Disorders		"Faktor intrinsik
1) Usia: risiko meningkat seiring bertambahnya usia
2) Jenis Kelamin: wanita berada pada risiko yang lebih tinggi daripada pria
3) Riwayat keluarga

Faktor gaya hidup
1) Merokok
2) Kelebihan berat badan atau obesitas
3) Stres berulang pada sendi karena pekerjaan atau olahraga
4) Penggunaan berlebihan 

Kondisi medis terkait
1) Deformitas tulang
2) Obesitas
3) Cedera sendi
4) Diabetes
5) Hemokromatosis (terlalu banyak zat besi)


"	"1) Nyeri sendi
2) Kekakuan sendi
3) Nyeri pada persendian
4) Hilangnya fleksibilitas
5) Kelemahan otot
6) Sensasi kisi
7) Taji tulang
8) Pembengkakan pada persendian
9) Deformitas sendi"	"1) Rontgen untuk mencari kehilangan tulang rawan dan taji tulang formasi di sekitar sendi
2) MRI biasanya tidak diperlukan untuk mendiagnosis OA tetapi dapat membantu memberikan lebih banyak informasi dalam kasus yang kompleks
3) Analisis cairan sendi untuk menyingkirkan penyebab lain dari sendi rasa sakit
4) Tes darah untuk menyingkirkan penyebab lain dari nyeri sendi
5) Pemindaian Tulang
6) Direkomendasikan konsultasi dengan Dokter/Dokter Ortopedi"	Secara genetik, kamu memiliki risiko umum untuk mengidap Osteoarthritis	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala Osteoarthritis dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Osteoarthritis	"Osteoarthritis (OA) adalah penyakit sistem muskuloskeletal yang mempengaruhi sendi lutut, pinggul dan tulang belakang, dan sendi lain yang ditandai dengan rusaknya tulang rawan/kartilago, jaringan keras namun fleksibel yang menutupi ujung tulang pada sendi.
OA adalah penyakit degeneratif yang memburuk dari waktu ke waktu, yang sering mengakibatkan nyeri kronis.
"	Low		"IL11; FILIP1, LOC101928540; GDF5; ADAM12"	3	Health	Bone and Joint Disorders		"Faktor intrinsik
1) Usia: risiko meningkat seiring bertambahnya usia
2) Jenis Kelamin: wanita berada pada risiko yang lebih tinggi daripada pria
3) Riwayat keluarga

Faktor gaya hidup
1) Merokok
2) Kelebihan berat badan atau obesitas
3) Stres berulang pada sendi karena pekerjaan atau olahraga
4) Penggunaan berlebihan 

Kondisi medis terkait
1) Deformitas tulang
2) Obesitas
3) Cedera sendi
4) Diabetes
5) Hemokromatosis (terlalu banyak zat besi)


"	"1) Nyeri sendi
2) Kekakuan sendi
3) Nyeri pada persendian
4) Hilangnya fleksibilitas
5) Kelemahan otot
6) Sensasi kisi
7) Taji tulang
8) Pembengkakan pada persendian
9) Deformitas sendi"	"1) Rontgen untuk mencari kehilangan tulang rawan dan taji tulang formasi di sekitar sendi
2) MRI biasanya tidak diperlukan untuk mendiagnosis OA tetapi dapat membantu memberikan lebih banyak informasi dalam kasus yang kompleks
3) Analisis cairan sendi untuk menyingkirkan penyebab lain dari sendi rasa sakit
4) Tes darah untuk menyingkirkan penyebab lain dari nyeri sendi
5) Pemindaian Tulang
6) Direkomendasikan konsultasi dengan Dokter/Dokter Ortopedi"	Secara genetik, kamu memiliki risiko rendah untuk mengidap Osteoarthritis	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala Osteoarthritis dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut."	NA
Osteoarthritis	"Osteoarthritis (OA) adalah penyakit sistem muskuloskeletal yang mempengaruhi sendi lutut, pinggul dan tulang belakang, dan sendi lain yang ditandai dengan rusaknya tulang rawan/kartilago, jaringan keras namun fleksibel yang menutupi ujung tulang pada sendi.
OA adalah penyakit degeneratif yang memburuk dari waktu ke waktu, yang sering mengakibatkan nyeri kronis.
"	High		"IL11; FILIP1, LOC101928540; GDF5; ADAM12"	3	Health	Bone and Joint Disorders		"Faktor intrinsik
1) Usia: risiko meningkat seiring bertambahnya usia
2) Jenis Kelamin: wanita berada pada risiko yang lebih tinggi daripada pria
3) Riwayat keluarga

Faktor gaya hidup
1) Merokok
2) Kelebihan berat badan atau obesitas
3) Stres berulang pada sendi karena pekerjaan atau olahraga
4) Penggunaan berlebihan 

Kondisi medis terkait
1) Deformitas tulang
2) Obesitas
3) Cedera sendi
4) Diabetes
5) Hemokromatosis (terlalu banyak zat besi)


"	"1) Nyeri sendi
2) Kekakuan sendi
3) Nyeri pada persendian
4) Hilangnya fleksibilitas
5) Kelemahan otot
6) Sensasi kisi
7) Taji tulang
8) Pembengkakan pada persendian
9) Deformitas sendi"	"1) Rontgen untuk mencari kehilangan tulang rawan dan taji tulang formasi di sekitar sendi
2) MRI biasanya tidak diperlukan untuk mendiagnosis OA tetapi dapat membantu memberikan lebih banyak informasi dalam kasus yang kompleks
3) Analisis cairan sendi untuk menyingkirkan penyebab lain dari sendi rasa sakit
4) Tes darah untuk menyingkirkan penyebab lain dari nyeri sendi
5) Pemindaian Tulang
6) Direkomendasikan konsultasi dengan Dokter/Dokter Ortopedi"	Secara genetik, kamu memiliki risiko tinggi untuk mengidap Osteoarthritis	"Makan makanan kaya antioksidan (sebagian besar buah dan sayuran, kacang-kacangan dan biji-bijian, rempah-rempah)

Makan makanan yang kaya asam lemak omega-3 

Gunakan bioflavonoid seperti quercetin jika dibutuhkan untuk meredakan rasa sakit pada OA

Olahraga teratur dapat membantu menunda timbul dan berkembangnya OA

Makanan yang memiliki kandungan olahan gula dan karbohidrat yang tinggi.

Makanan tinggi lemak jenuh"	"Makanan yang memiliki kandungan olahan gula dan karbohidrat yang tinggi.

Makanan tinggi lemak jenuh

Makanan tinggi kolesterol

Olahraga seperti berlari, aktivitas yang mengubah arah dengan cepat (seperti basket, tennis, dll.), dan latihan yang melibatkan lompatan"
Rheumatoid Arthritis	"Rheumatoid Arthritis (RA) adalah penyakit inflamasi sistemik kronis, terjadi ketika sistem kekebalan tubuh Anda secara keliru menyerang persendian. 
RA biasanya mempengaruhi sendi di kedua sisi tubuh, salah satu ciri khas yang membedakan dari radang sendi lainnya. Peradangan yang terkait dengan RA dapat juga merusak bagian lain dari tubuh.
"	Typical		"UBASH3A; SYNGR1; PADI4; REL; LOC100506023, TNFSF4; NFKBIE; PTPN2; RASGRP1; SPRED2; STAT4; TNFAIP3; CTLA4; ARID5B; CCR6; MTF1"	4	Health	Bone and Joint Disorders		"Faktor intrinsik
1) Usia: lebih sering terjadi pada kelompok usia 30-60 tahun
2) Jenis Kelamin: wanita berisiko lebih tinggi daripada pria
3) Riwayat keluarga

Faktor gaya hidup
1) Merokok
2) Paparan dini terhadap asap rokok: anak-anak yang ibunya merokok memiliki risiko dua kali lipat terkena RA saat dewasa
3) Paparan bahan kimia tertentu seperti asbes dan silika

Kondisi medis terkait
1) Obesitas
2) Nuliparitas (belum pernah
3) Diabetes
4) Osteoporosis

"	"1) Nyeri, kaku, nyeri tekan dan bengkak pada banyak sendi; Keterlibatan sendi simetris; Deformitas sendi
2) Penurunan berat badan dan anemia
3) Demam, kelelahan, atau kelelahan
4) Kekeringan, nyeri dan kemerahan di mata
5) Mulut kering, iritasi gusi
6) Nodul reumatoid
7) Peradangan pembuluh darah yang menyebabkan kerusakan saraf"	"1) Pemeriksaan fisik oleh rheumatologist
2) Kriteria klinis:
a) pembengkakan hadir di setidaknya satu sendi, penyebab lain
dikesampingkan
b) hasil dari setidaknya satu tes darah yang menunjukkan
kehadiran RA
c) gejala telah ada setidaknya selama 6 minggu
3) X-ray, Ultrasound, MRI sendi
4) Tes darah Tes faktor RA, tes antibodi anti-CCP,
tes panel antibodi anti-nuklir, kadar CRP dan ESR
5) Aspirasi sendi
6) Analisis cairan sinovial"	Secara genetik, kamu memiliki risiko umum untuk mengidap Rheumatoid Arthritis	"1) Mengikuti diet seimbang dan berolahraga secara teratur untuk menjaga kesehatan yang optimal.
2) Perhatikan tanda dan gejala Rheumatoid Arthritis dan segera konsultasikan ke dokter jika Anda mengalami salah satu gejala tersebut.
"	NA
